Zip Code,State,City,Average Annual Cost,Percent difference from national average,County
94850,California,Richmond,"$1,332.00",-30.00%,Contra Costa County
93064,California,Brandeis,"$1,348.00",-29.00%,Ventura County
95680,California,Ryde,"$1,369.00",-28.00%,Sacramento County
95234,California,Holt,"$1,438.00",-24.00%,Kern County
93519,California,Cantil,"$1,597.00",-16.00%,Los Angeles County
90506,California,Torrance,"$1,606.00",-15.00%,Los Angeles County
95364,California,Pinecrest,"$1,623.00",-15.00%,Tuolumne County
95974,California,Richvale,"$1,635.00",-14.00%,Butte County
95305,California,Big Oak Flat,"$1,640.00",-14.00%,Tuolumne County
95226,California,Campo Seco,"$1,640.00",-14.00%,Calaveras County
95721,California,Echo Lake,"$1,664.00",-12.00%,El Dorado County
91980,California,Tecate,"$1,669.00",-12.00%,San Diego County
93633,California,Kings Canyon National Pk,"$1,688.00",-11.00%,Fresno County
90831,California,Long Beach,"$1,694.00",-11.00%,Los Angeles County
95915,California,Belden,"$1,727.00",-9.00%,Plumas County
96061,California,Mill Creek,"$1,738.00",-8.00%,Tehama County
92338,California,Ludlow,"$1,808.00",-5.00%,San Bernardino County
92280,California,Vidal,"$1,834.00",-3.00%,San Bernardino County
92222,California,Bard,"$1,840.00",-3.00%,Imperial County
90747,California,Carson,"$1,911.00",1.00%,Los Angeles County
90079,California,Los Angeles,"$1,929.00",2.00%,Los Angeles County
91371,California,Woodland Hills,"$1,943.00",2.00%,Los Angeles County
90011,California,Los Angeles,"$1,999.00",5.00%,Los Angeles County
90650,California,Norwalk,"$1,841.00",-3.00%,Los Angeles County
91331,California,Pacoima,"$1,958.00",3.00%,Los Angeles County
90201,California,Bell Gardens,"$1,877.00",-1.00%,Los Angeles County
90044,California,Los Angeles,"$2,098.00",10.00%,Los Angeles County
92335,California,Fontana,"$1,617.00",-15.00%,San Bernardino County
92336,California,Fontana,"$1,676.00",-12.00%,San Bernardino County
94565,California,Pittsburg,"$1,360.00",-28.00%,Contra Costa County
90250,California,Hawthorne,"$1,863.00",-2.00%,Los Angeles County
90805,California,Long Beach,"$1,726.00",-9.00%,Los Angeles County
90280,California,South Gate,"$1,872.00",-1.00%,Los Angeles County
91342,California,Los Angeles,"$1,998.00",5.00%,Los Angeles County
92503,California,Riverside,"$1,647.00",-13.00%,Riverside County
92683,California,Westminster,"$1,543.00",-19.00%,Orange County
91710,California,Chino,"$1,604.00",-16.00%,San Bernardino County
92154,California,San Diego,"$1,294.00",-32.00%,San Diego County
91911,California,Chula Vista,"$1,353.00",-29.00%,San Diego County
92804,California,Anaheim,"$1,525.00",-20.00%,Orange County
92376,California,Rialto,"$1,650.00",-13.00%,San Bernardino County
93307,California,Bakersfield,"$1,440.00",-24.00%,Kern County
92592,California,Temecula,"$1,638.00",-14.00%,Riverside County
92704,California,Santa Ana,"$1,553.00",-18.00%,Orange County
93722,California,Fresno,"$1,412.00",-26.00%,Fresno County
94112,California,San Francisco,"$1,538.00",-19.00%,San Francisco County
93033,California,Oxnard,"$1,230.00",-35.00%,Ventura County
93727,California,Fresno,"$1,409.00",-26.00%,Fresno County
95076,California,Watsonville,"$1,394.00",-27.00%,Santa Cruz County
92345,California,Hesperia,"$1,725.00",-9.00%,San Bernardino County
91744,California,La Puente,"$1,565.00",-18.00%,Los Angeles County
92126,California,San Diego,"$1,340.00",-29.00%,San Diego County
91709,California,Chino Hills,"$1,599.00",-16.00%,San Bernardino County
92509,California,Rubidoux,"$1,646.00",-13.00%,Riverside County
91335,California,Reseda,"$2,062.00",9.00%,Los Angeles County
95823,California,Sacramento,"$1,430.00",-25.00%,Sacramento County
95630,California,Folsom,"$1,381.00",-27.00%,Sacramento County
94533,California,Fairfield,"$1,322.00",-30.00%,Solano County
94544,California,Hayward,"$1,361.00",-28.00%,Alameda County
91706,California,Baldwin Park,"$1,513.00",-20.00%,Los Angeles County
90706,California,Bellflower,"$1,834.00",-3.00%,Los Angeles County
92105,California,San Diego,"$1,296.00",-32.00%,San Diego County
93550,California,Palmdale,"$2,224.00",17.00%,Los Angeles County
93257,California,Porterville,"$1,406.00",-26.00%,Tulare County
95035,California,Milpitas,"$1,258.00",-34.00%,Santa Clara County
93274,California,Tulare,"$1,355.00",-29.00%,Tulare County
94587,California,Union City,"$1,330.00",-30.00%,Alameda County
93535,California,Lancaster,"$2,186.00",15.00%,Los Angeles County
91730,California,Rancho Cucamonga,"$1,580.00",-17.00%,San Bernardino County
92882,California,Corona,"$1,713.00",-10.00%,Riverside County
92805,California,Anaheim,"$1,535.00",-19.00%,Orange County
94536,California,Fremont,"$1,303.00",-31.00%,Alameda County
90255,California,Huntington Park,"$1,870.00",-2.00%,Los Angeles County
93306,California,Bakersfield,"$1,461.00",-23.00%,Kern County
91910,California,Chula Vista,"$1,368.00",-28.00%,San Diego County
90003,California,Los Angeles,"$2,090.00",10.00%,Los Angeles County
92553,California,Moreno Valley,"$1,643.00",-13.00%,Riverside County
94110,California,San Francisco,"$1,547.00",-19.00%,San Francisco County
92880,California,Eastvale,"$1,628.00",-14.00%,Riverside County
93065,California,Simi Valley,"$1,335.00",-30.00%,Ventura County
92563,California,Murrieta,"$1,623.00",-15.00%,Riverside County
91766,California,Pomona,"$1,948.00",3.00%,Los Angeles County
92021,California,El Cajon,"$1,392.00",-27.00%,San Diego County
91402,California,Panorama City,"$1,951.00",3.00%,Los Angeles County
95123,California,San Jose,"$1,238.00",-35.00%,Santa Clara County
92114,California,San Diego,"$1,345.00",-29.00%,San Diego County
90262,California,Lynwood,"$1,881.00",-1.00%,Los Angeles County
94509,California,Antioch,"$1,342.00",-29.00%,Contra Costa County
95687,California,Vacaville,"$1,314.00",-31.00%,Solano County
93230,California,Hanford,"$1,439.00",-24.00%,Kings County
90631,California,La Habra,"$1,510.00",-20.00%,Orange County
93536,California,Lancaster,"$2,227.00",17.00%,Los Angeles County
95747,California,Roseville,"$1,348.00",-29.00%,Placer County
92407,California,San Bernardino,"$1,812.00",-5.00%,San Bernardino County
90026,California,Los Angeles,"$2,086.00",10.00%,Los Angeles County
90037,California,Los Angeles,"$2,104.00",11.00%,Los Angeles County
94538,California,Fremont,"$1,315.00",-31.00%,Alameda County
94080,California,South San Francisco,"$1,297.00",-32.00%,San Mateo County
95624,California,Elk Grove,"$1,375.00",-28.00%,Sacramento County
94558,California,Napa,"$1,285.00",-32.00%,Napa County
92703,California,Santa Ana,"$1,515.00",-20.00%,Orange County
94541,California,Hayward,"$1,373.00",-28.00%,Alameda County
90022,California,East Los Angeles,"$1,941.00",2.00%,Los Angeles County
95758,California,Elk Grove,"$1,365.00",-28.00%,Sacramento County
92801,California,Anaheim,"$1,531.00",-19.00%,Orange County
95206,California,Stockton,"$1,434.00",-24.00%,San Joaquin County
92677,California,Laguna Niguel,"$1,702.00",-10.00%,Orange County
94513,California,Brentwood,"$1,348.00",-29.00%,Contra Costa County
91343,California,North Hills,"$1,995.00",5.00%,Los Angeles County
94015,California,Daly City,"$1,280.00",-33.00%,San Mateo County
92562,California,Murrieta,"$1,687.00",-11.00%,Riverside County
92201,California,Indio,"$1,647.00",-13.00%,Riverside County
94501,California,Alameda,"$1,383.00",-27.00%,Alameda County
91762,California,Ontario,"$1,533.00",-19.00%,San Bernardino County
92115,California,San Diego,"$1,314.00",-31.00%,San Diego County
93906,California,Salinas,"$1,260.00",-34.00%,Monterey County
94806,California,San Pablo,"$1,346.00",-29.00%,Contra Costa County
95020,California,Gilroy,"$1,314.00",-31.00%,Santa Clara County
92346,California,Highland,"$1,664.00",-12.00%,San Bernardino County
91977,California,La Presa,"$1,371.00",-28.00%,San Diego County
92404,California,San Bernardino,"$1,739.00",-8.00%,San Bernardino County
95127,California,San Jose,"$1,309.00",-31.00%,Santa Clara County
