Zip Code,State,City,Average Annual Cost,Percent difference from national average
90042,California,Los Angeles,"$1,981",4%
92570,California,Perris,"$1,836",-3%
95112,California,San Jose,"$1,282",-32%
93030,California,Oxnard,"$1,227",-35%
92324,California,Colton,"$1,635",-14%
92507,California,Riverside,"$1,672",-12%
92571,California,Perris,"$1,695",-11%
93117,California,Goleta,"$1,265",-33%
95355,California,Modesto,"$1,325",-30%
95051,California,Santa Clara,"$1,180",-38%
93312,California,Bakersfield,"$1,427",-25%
92057,California,Oceanside,"$1,381",-27%
95828,California,Florin,"$1,415",-25%
90001,California,Florence-Graham,"$2,090",10%
90066,California,Los Angeles,"$1,747",-8%
93309,California,Bakersfield,"$1,431",-25%
92780,California,Tustin,"$1,539",-19%
92117,California,San Diego,"$1,322",-30%
90006,California,Los Angeles,"$2,103",11%
93291,California,Visalia,"$1,352",-29%
92113,California,San Diego,"$1,305",-31%
92020,California,El Cajon,"$1,378",-27%
94568,California,Dublin,"$1,236",-35%
91764,California,Ontario,"$1,576",-17%
92027,California,Escondido,"$1,497",-21%
95670,California,Rancho Cordova,"$1,370",-28%
92071,California,Santee,"$1,403",-26%
93313,California,Bakersfield,"$1,414",-26%
94087,California,Sunnyvale,"$1,186",-38%
92392,California,Victorville,"$1,700",-10%
92223,California,Beaumont,"$1,756",-8%
91405,California,Van Nuys,"$1,952",3%
92708,California,Fountain Valley,"$1,569",-17%
92130,California,San Diego,"$1,371",-28%
90813,California,Long Beach,"$1,736",-9%
92129,California,San Diego,"$1,389",-27%
93458,California,Santa Maria,"$1,206",-36%
92646,California,Huntington Beach,"$1,592",-16%
90744,California,Wilmington,"$1,642",-14%
92530,California,Lake Elsinore,"$1,771",-7%
90034,California,Los Angeles,"$1,897",0%
94591,California,Vallejo,"$1,342",-29%
93063,California,Simi Valley,"$1,349",-29%
94109,California,San Francisco,"$1,524",-20%
93436,California,Lompoc,"$1,282",-32%
91344,California,Granada Hills,"$2,061",9%
93215,California,Delano,"$1,550",-18%
95122,California,San Jose,"$1,318",-31%
90745,California,Carson,"$1,809",-5%
91745,California,Hacienda Heights,"$1,555",-18%
95376,California,Tracy,"$1,424",-25%
93308,California,Oildale,"$1,427",-25%
92399,California,Yucaipa,"$1,729",-9%
94539,California,Fremont,"$1,325",-30%
92234,California,Cathedral City,"$1,720",-9%
92701,California,Santa Ana,"$1,530",-19%
95116,California,San Jose,"$1,318",-31%
92505,California,Riverside,"$1,640",-14%
92618,California,Irvine,"$1,575",-17%
92840,California,Garden Grove,"$1,528",-20%
91406,California,Van Nuys,"$1,965",3%
92557,California,Moreno Valley,"$1,677",-12%
95023,California,Hollister,"$1,333",-30%
91786,California,Upland,"$1,530",-19%
91801,California,Alhambra,"$1,483",-22%
92584,California,Menifee,"$1,601",-16%
95125,California,San Jose,"$1,211",-36%
95350,California,Modesto,"$1,326",-30%
90723,California,Paramount,"$1,872",-1%
90063,California,East Los Angeles,"$2,071",9%
95616,California,Davis,"$1,362",-28%
91304,California,Los Angeles,"$2,082",10%
90002,California,Los Angeles,"$2,087",10%
92870,California,Placentia,"$1,587",-16%
92056,California,Oceanside,"$1,390",-27%
93277,California,Visalia,"$1,339",-29%
94601,California,Oakland,"$1,547",-19%
92078,California,San Marcos,"$1,431",-25%
95648,California,Lincoln,"$1,343",-29%
94550,California,Livermore,"$1,215",-36%
92833,California,Fullerton,"$1,523",-20%
90018,California,Los Angeles,"$2,105",11%
91605,California,North Hollywood,"$1,985",5%
92025,California,Escondido,"$1,467",-23%
92128,California,San Diego,"$1,383",-27%
90024,California,Los Angeles,"$1,976",4%
95124,California,San Jose,"$1,204",-37%
95037,California,Morgan Hill,"$1,361",-28%
92656,California,Aliso Viejo,"$1,699",-11%
95757,California,Elk Grove,"$1,357",-29%
95207,California,Stockton,"$1,410",-26%
93003,California,San Buenaventura (Ventura),"$1,221",-36%
93638,California,Madera,"$1,510",-20%
92886,California,Yorba Linda,"$1,598",-16%
90047,California,Los Angeles,"$2,108",11%
91913,California,Chula Vista,"$1,381",-27%
90220,California,Compton,"$2,015",6%
92024,California,Encinitas,"$1,356",-29%
92626,California,Costa Mesa,"$1,568",-17%
93551,California,Palmdale,"$2,288",20%
90221,California,Compton,"$2,002",5%
91767,California,Pomona,"$1,927",1%
92026,California,Escondido,"$1,470",-23%
92544,California,East Hemet,"$1,610",-15%
91306,California,Winnetka,"$2,049",8%
92084,California,Vista,"$1,396",-26%
92243,California,El Centro,"$1,673",-12%
92127,California,San Diego,"$1,372",-28%
92691,California,Mission Viejo,"$1,707",-10%
92111,California,San Diego,"$1,311",-31%
90046,California,Los Angeles,"$2,162",14%
94553,California,Martinez,"$1,373",-28%
90057,California,Los Angeles,"$2,086",10%
92064,California,Poway,"$1,439",-24%
90033,California,Los Angeles,"$2,069",9%
90703,California,Cerritos,"$1,835",-3%
94014,California,Daly City,"$1,285",-32%
92879,California,Corona,"$1,636",-14%
95240,California,Lodi,"$1,423",-25%
90630,California,Cypress,"$1,548",-18%
94086,California,Sunnyvale,"$1,189",-37%
95060,California,Santa Cruz,"$1,403",-26%
95351,California,Modesto,"$1,342",-29%
92028,California,Fallbrook,"$1,537",-19%
90638,California,La Mirada,"$1,879",-1%
95148,California,San Jose,"$1,292",-32%
93611,California,Clovis,"$1,380",-27%
94577,California,San Leandro,"$1,363",-28%
95136,California,San Jose,"$1,225",-35%
92620,California,Irvine,"$1,557",-18%
94551,California,Livermore,"$1,235",-35%
94560,California,Newark,"$1,312",-31%
92069,California,San Marcos,"$1,420",-25%
95843,California,Antelope,"$1,411",-26%
95008,California,Campbell,"$1,186",-38%
90032,California,Los Angeles,"$2,061",9%
92122,California,San Diego,"$1,338",-30%
94303,California,East Palo Alto,"$1,243",-35%
92843,California,Garden Grove,"$1,531",-19%
92692,California,Mission Viejo,"$1,713",-10%
90247,California,Gardena,"$1,864",-2%
90025,California,Los Angeles,"$1,945",2%
90065,California,Los Angeles,"$2,004",6%
95336,California,Manteca,"$1,403",-26%
95307,California,Ceres,"$1,319",-31%
93036,California,Oxnard,"$1,224",-36%
92705,California,Santa Ana,"$1,573",-17%
92058,California,Oceanside,"$1,446",-24%
95610,California,Citrus Heights,"$1,405",-26%
93304,California,Bakersfield,"$1,417",-25%
92009,California,Carlsbad,"$1,387",-27%
92109,California,San Diego,"$1,291",-32%
93720,California,Fresno,"$1,387",-27%
91748,California,Rowland Heights,"$1,606",-15%
93311,California,Bakersfield,"$1,417",-25%
94116,California,San Francisco,"$1,525",-20%
92555,California,Moreno Valley,"$1,738",-8%
90023,California,Los Angeles,"$2,082",10%
93010,California,Camarillo,"$1,247",-34%
90043,California,Los Angeles,"$2,112",11%
90016,California,Los Angeles,"$2,109",11%
91765,California,Diamond Bar,"$1,974",4%
90620,California,Buena Park,"$1,543",-19%
91352,California,Sun Valley,"$1,949",3%
90027,California,Los Angeles,"$2,012",6%
92236,California,Coachella,"$1,700",-10%
92506,California,Riverside,"$1,638",-14%
92395,California,Victorville,"$1,672",-12%
92104,California,San Diego,"$1,284",-32%
92040,California,Lakeside,"$1,484",-22%
92648,California,Huntington Beach,"$1,550",-18%
93455,California,Orcutt,"$1,206",-36%
95822,California,Sacramento,"$1,398",-26%
94546,California,Castro Valley,"$1,352",-29%
91367,California,Woodland Hills,"$1,930",2%
94566,California,Pleasanton,"$1,234",-35%
91606,California,North Hollywood,"$1,981",4%
93446,California,Paso Robles,"$1,174",-38%
91733,California,El Monte,"$1,496",-21%
94582,California,San Ramon,"$1,353",-29%
95403,California,Santa Rosa,"$1,204",-37%
92410,California,San Bernardino,"$1,715",-10%
91320,California,Thousand Oaks,"$1,291",-32%
91790,California,West Covina,"$1,602",-16%
92688,California,Rancho Santa Margarita,"$1,709",-10%
94066,California,San Bruno,"$1,278",-33%
92867,California,Orange,"$1,562",-18%
92019,California,Rancho San Diego,"$1,396",-26%
94403,California,San Mateo,"$1,243",-35%
90503,California,Torrance,"$1,564",-18%
95209,California,Stockton,"$1,407",-26%
92545,California,Hemet,"$1,598",-16%
96003,California,Redding,"$1,772",-7%
92374,California,Redlands,"$1,620",-15%
92802,California,Anaheim,"$1,528",-20%
94025,California,Menlo Park,"$1,253",-34%
95380,California,Turlock,"$1,283",-32%
94928,California,Rohnert Park,"$1,175",-38%
94121,California,San Francisco,"$1,517",-20%
93702,California,Fresno,"$1,474",-22%
91789,California,Walnut,"$1,632",-14%
94117,California,San Francisco,"$1,537",-19%
95762,California,El Dorado Hills,"$1,461",-23%
94134,California,San Francisco,"$1,552",-18%
94605,California,Oakland,"$1,523",-20%
95831,California,Sacramento,"$1,365",-28%
95678,California,Roseville,"$1,349",-29%
94561,California,Oakley,"$1,313",-31%
93619,California,Clovis,"$1,431",-25%
93726,California,Fresno,"$1,472",-22%
94521,California,Concord,"$1,329",-30%
95407,California,Santa Rosa,"$1,197",-37%
93292,California,Visalia,"$1,352",-29%
90241,California,Downey,"$1,855",-2%
95132,California,San Jose,"$1,285",-32%
91360,California,Thousand Oaks,"$1,316",-31%
94578,California,San Leandro,"$1,360",-28%
94010,California,Burlingame,"$1,264",-33%
92101,California,San Diego,"$1,307",-31%
92102,California,San Diego,"$1,303",-31%
90007,California,Los Angeles,"$2,098",10%
92308,California,Apple Valley,"$1,670",-12%
90059,California,Los Angeles,"$2,082",10%
90501,California,Torrance,"$1,564",-18%
94531,California,Antioch,"$1,346",-29%
90815,California,Long Beach,"$1,682",-11%
91311,California,Los Angeles,"$1,976",4%
95621,California,Citrus Heights,"$1,410",-26%
90275,California,Rancho Palos Verdes,"$1,638",-14%
90242,California,Downey,"$1,866",-2%
95210,California,Stockton,"$1,429",-25%
92591,California,Temecula,"$1,611",-15%
91016,California,Monrovia,"$1,525",-20%
92253,California,La Quinta,"$1,647",-13%
93635,California,Los Banos,"$1,351",-29%
93706,California,Fresno,"$1,483",-22%
94804,California,Richmond,"$1,365",-28%
95926,California,Chico,"$1,501",-21%
90806,California,Long Beach,"$1,704",-10%
94118,California,San Francisco,"$1,526",-20%
94901,California,San Rafael,"$1,294",-32%
90605,California,South Whittier,"$1,639",-14%
91387,California,Canyon Country,"$1,978",4%
93637,California,Madera,"$1,516",-20%
95628,California,Fair Oaks,"$1,386",-27%
95991,California,Yuba City,"$1,468",-23%
91942,California,La Mesa,"$1,357",-29%
92054,California,Oceanside,"$1,398",-26%
95337,California,Manteca,"$1,382",-27%
93454,California,Santa Maria,"$1,181",-38%
90604,California,South Whittier,"$1,616",-15%
91401,California,Van Nuys,"$2,008",6%
95833,California,Sacramento,"$1,402",-26%
95695,California,Woodland,"$1,364",-28%
95129,California,San Jose,"$1,200",-37%
92806,California,Anaheim,"$1,548",-18%
90278,California,Redondo Beach,"$1,585",-17%
95838,California,Sacramento,"$1,411",-26%
95765,California,Rocklin,"$1,349",-29%
91701,California,Rancho Cucamonga,"$1,590",-16%
95301,California,Atwater,"$1,315",-31%
92231,California,Calexico,"$1,728",-9%
92675,California,San Juan Capistrano,"$1,676",-12%
93534,California,Lancaster,"$2,184",15%
90045,California,Los Angeles,"$1,756",-8%
93552,California,Palmdale,"$2,226",17%
90808,California,Long Beach,"$1,656",-13%
92337,California,Fontana,"$1,612",-15%
91763,California,Montclair,"$1,539",-19%
90031,California,Los Angeles,"$2,070",9%
95835,California,Sacramento,"$1,396",-26%
90020,California,Los Angeles,"$1,975",4%
91739,California,Rancho Cucamonga,"$1,624",-14%
90301,California,Inglewood,"$1,974",4%
92083,California,Vista,"$1,387",-27%
95826,California,Rosemont,"$1,404",-26%
95691,California,West Sacramento,"$1,366",-28%
90802,California,Long Beach,"$1,710",-10%
92821,California,Brea,"$1,597",-16%
92706,California,Santa Ana,"$1,527",-20%
94611,California,Oakland,"$1,430",-25%
94954,California,Petaluma,"$1,207",-36%
90005,California,Los Angeles,"$2,116",11%
95050,California,Santa Clara,"$1,194",-37%
95401,California,Santa Rosa,"$1,177",-38%
92307,California,Apple Valley,"$1,655",-13%
94520,California,Concord,"$1,324",-30%
93305,California,Bakersfield,"$1,422",-25%
93711,California,Fresno,"$1,402",-26%
94044,California,Pacifica,"$1,284",-32%
91776,California,San Gabriel,"$1,470",-23%
95928,California,Chico,"$1,516",-20%
91350,California,Santa Clarita,"$1,915",1%
94583,California,San Ramon,"$1,344",-29%
92508,California,Riverside,"$1,644",-13%
94534,California,Fairfield,"$1,304",-31%
95404,California,Santa Rosa,"$1,195",-37%
93245,California,Lemoore,"$1,452",-24%
92037,California,La Jolla,"$1,338",-30%
95121,California,San Jose,"$1,282",-32%
93021,California,Moorpark,"$1,303",-31%
95120,California,San Jose,"$1,256",-34%
94061,California,Redwood City,"$1,253",-34%
90804,California,Long Beach,"$1,700",-10%
95688,California,Vacaville,"$1,345",-29%
90036,California,Los Angeles,"$2,008",6%
95382,California,Turlock,"$1,289",-32%
94555,California,Fremont,"$1,316",-31%
91104,California,Pasadena,"$1,562",-18%
95993,California,Yuba City,"$1,495",-21%
94606,California,Oakland,"$1,522",-20%
91205,California,Glendale,"$1,748",-8%
92543,California,Hemet,"$1,594",-16%
94590,California,Vallejo,"$1,327",-30%
95825,California,Arden-Arcade,"$1,382",-27%
90012,California,Los Angeles,"$2,072",9%
91340,California,San Fernando,"$1,949",3%
95476,California,Sonoma,"$1,215",-36%
95205,California,Stockton,"$1,425",-25%
91362,California,Thousand Oaks,"$1,360",-28%
95126,California,San Jose,"$1,239",-35%
95660,California,North Highlands,"$1,410",-26%
90505,California,Torrance,"$1,576",-17%
91001,California,Altadena,"$1,608",-15%
90810,California,Long Beach,"$1,755",-8%
90049,California,Los Angeles,"$2,050",8%
92883,California,Temescal Valley,"$1,766",-7%
93657,California,Sanger,"$1,559",-18%
92065,California,Ramona,"$1,568",-17%
95821,California,Arden-Arcade,"$1,394",-27%
95062,California,Live Oak,"$1,361",-28%
95340,California,Merced,"$1,338",-30%
93705,California,Fresno,"$1,418",-25%
94588,California,Pleasanton,"$1,213",-36%
93405,California,San Luis Obispo,"$1,169",-38%
94124,California,San Francisco,"$1,555",-18%
92869,California,Orange,"$1,596",-16%
95973,California,Chico,"$1,510",-20%
91711,California,Claremont,"$1,955",3%
92240,California,Desert Hot Springs,"$1,752",-8%
92831,California,Fullerton,"$1,549",-18%
92139,California,San Diego,"$1,295",-32%
90029,California,Los Angeles,"$2,010",6%
91326,California,Porter Ranch,"$2,055",8%
94063,California,Redwood City,"$1,249",-34%
91752,California,Mira Loma,"$1,656",-13%
94404,California,Foster City,"$1,255",-34%
92807,California,Anaheim,"$1,612",-15%
95128,California,San Jose,"$1,237",-35%
90062,California,Los Angeles,"$2,116",11%
92649,California,Huntington Beach,"$1,553",-18%
93012,California,Camarillo,"$1,267",-33%
91768,California,Pomona,"$1,932",2%
94603,California,Oakland,"$1,579",-17%
93612,California,Clovis,"$1,386",-27%
95667,California,Placerville,"$1,579",-17%
90621,California,Buena Park,"$1,549",-18%
92660,California,Newport Beach,"$1,586",-16%
91601,California,North Hollywood,"$1,928",2%
94952,California,Petaluma,"$1,197",-37%
95901,California,Marysville,"$1,477",-22%
95820,California,Sacramento,"$1,406",-26%
93561,California,Tehachapi,"$1,609",-15%
94114,California,San Francisco,"$1,550",-18%
90266,California,Manhattan Beach,"$1,578",-17%
94401,California,San Mateo,"$1,247",-34%
91722,California,Covina,"$1,604",-16%
94523,California,Pleasant Hill,"$1,326",-30%
92131,California,San Diego,"$1,380",-27%
91780,California,Temple City,"$1,463",-23%
92394,California,Victorville,"$1,675",-12%
94040,California,Mountain View,"$1,184",-38%
92301,California,Adelanto,"$1,743",-8%
93955,California,Seaside,"$1,295",-32%
92596,California,French Valley,"$1,638",-14%
92672,California,San Clemente,"$1,659",-13%
91325,California,Northridge,"$2,027",7%
95361,California,Oakdale,"$1,334",-30%
92260,California,Palm Desert,"$1,652",-13%
90222,California,Willowbrook,"$2,001",5%
90260,California,Lawndale,"$1,861",-2%
90277,California,Redondo Beach,"$1,588",-16%
91750,California,La Verne,"$1,918",1%
92551,California,Moreno Valley,"$1,667",-12%
91321,California,Santa Clarita,"$1,963",3%
95348,California,Merced,"$1,343",-29%
92103,California,San Diego,"$1,289",-32%
93710,California,Fresno,"$1,407",-26%
92123,California,San Diego,"$1,305",-31%
95341,California,Merced,"$1,338",-30%
92595,California,Wildomar,"$1,754",-8%
91604,California,Studio City,"$2,023",7%
96001,California,Redding,"$1,771",-7%
93422,California,Atascadero,"$1,215",-36%
91915,California,Chula Vista,"$1,381",-27%
92841,California,Garden Grove,"$1,520",-20%
96002,California,Redding,"$1,757",-7%
93555,California,Ridgecrest,"$1,412",-26%
94115,California,San Francisco,"$1,511",-20%
91007,California,Arcadia,"$1,463",-23%
94621,California,Oakland,"$1,579",-17%
93060,California,Santa Paula,"$1,268",-33%
91206,California,Glendale,"$1,817",-4%
94526,California,Danville,"$1,353",-29%
91773,California,San Dimas,"$1,670",-12%
91107,California,Pasadena,"$1,561",-18%
92220,California,Banning,"$1,788",-6%
91754,California,Monterey Park,"$1,463",-23%
91791,California,West Covina,"$1,627",-14%
95842,California,Foothill Farms,"$1,421",-25%
94102,California,San Francisco,"$1,516",-20%
90230,California,Culver City,"$1,837",-3%
91941,California,La Mesa,"$1,370",-28%
91354,California,Santa Clarita,"$1,913",1%
91423,California,Sherman Oaks,"$2,028",7%
92679,California,Coto De Caza,"$1,735",-9%
95118,California,San Jose,"$1,214",-36%
92124,California,San Diego,"$1,338",-30%
94941,California,Mill Valley,"$1,421",-25%
90504,California,Torrance,"$1,561",-18%
93940,California,Monterey,"$1,281",-33%
90807,California,Long Beach,"$1,666",-12%
92881,California,Corona,"$1,652",-13%
93101,California,Santa Barbara,"$1,268",-33%
90606,California,West Whittier-Los Nietos,"$1,620",-15%
92311,California,Barstow,"$1,732",-9%
95377,California,Tracy,"$1,439",-24%
95358,California,Modesto,"$1,330",-30%
94545,California,Hayward,"$1,360",-28%
91006,California,Arcadia,"$1,485",-22%
92373,California,Redlands,"$1,673",-12%
95356,California,Modesto,"$1,319",-31%
95662,California,Orangevale,"$1,383",-27%
92116,California,San Diego,"$1,307",-31%
92203,California,Indio,"$1,653",-13%
90803,California,Long Beach,"$1,727",-9%
93703,California,Fresno,"$1,477",-22%
95131,California,San Jose,"$1,244",-34%
92583,California,San Jacinto,"$1,663",-12%
92612,California,Irvine,"$1,585",-17%
95632,California,Galt,"$1,364",-28%
94043,California,Mountain View,"$1,193",-37%
93618,California,Dinuba,"$1,397",-26%
90008,California,Los Angeles,"$2,127",12%
95661,California,Roseville,"$1,389",-27%
93001,California,San Buenaventura (Ventura),"$1,237",-35%
95482,California,Ukiah,"$1,552",-18%
95117,California,San Jose,"$1,233",-35%
91214,California,La Crescenta,"$1,776",-6%
92107,California,San Diego,"$1,309",-31%
94103,California,San Francisco,"$1,535",-19%
94608,California,Oakland,"$1,492",-21%
94610,California,Oakland,"$1,466",-23%
94801,California,Richmond,"$1,333",-30%
95070,California,Saratoga,"$1,239",-35%
90028,California,Los Angeles,"$2,033",7%
93004,California,San Buenaventura (Ventura),"$1,222",-36%
92173,California,San Ysidro,"$1,323",-30%
91505,California,Burbank,"$1,863",-2%
95834,California,Sacramento,"$1,392",-27%
91607,California,Valley Village,"$1,995",5%
91303,California,Canoga Park,"$1,924",1%
96080,California,Red Bluff,"$1,689",-11%
91324,California,Northridge,"$1,969",4%
90680,California,Stanton,"$1,530",-19%
93314,California,Rosedale,"$1,486",-22%
93654,California,Reedley,"$1,527",-20%
92405,California,San Bernardino,"$1,641",-14%
90712,California,Lakewood,"$1,812",-5%
91351,California,Santa Clarita,"$1,964",3%
91356,California,Tarzana,"$2,127",12%
92673,California,San Clemente,"$1,700",-10%
90601,California,Whittier,"$1,656",-13%
95134,California,San Jose,"$1,214",-36%
94131,California,San Francisco,"$1,537",-19%
93662,California,Selma,"$1,483",-22%
94132,California,San Francisco,"$1,520",-20%
92081,California,Vista,"$1,403",-26%
94070,California,San Carlos,"$1,246",-34%
91316,California,Encino,"$2,137",13%
96150,California,South Lake Tahoe,"$1,541",-19%
91731,California,El Monte,"$1,472",-22%
95824,California,Sacramento,"$1,411",-26%
94589,California,Vallejo,"$1,323",-30%
94903,California,San Rafael,"$1,301",-31%
91803,California,Alhambra,"$1,491",-21%
92653,California,Laguna Hills,"$1,688",-11%
92110,California,San Diego,"$1,288",-32%
90039,California,Los Angeles,"$1,970",4%
95603,California,Auburn,"$1,502",-21%
93420,California,Arroyo Grande,"$1,155",-39%
90041,California,Los Angeles,"$2,016",6%
91746,California,West Puente Valley,"$1,529",-19%
91792,California,West Covina,"$1,647",-13%
92120,California,San Diego,"$1,353",-29%
94107,California,San Francisco,"$1,536",-19%
95472,California,Sebastopol,"$1,219",-36%
94580,California,San Lorenzo,"$1,347",-29%
94602,California,Oakland,"$1,492",-21%
95682,California,Cameron Park,"$1,492",-21%
94704,California,Berkeley,"$1,450",-24%
95492,California,Windsor,"$1,218",-36%
95966,California,Oroville East,"$1,672",-12%
91355,California,Valencia,"$1,898",0%
90302,California,Inglewood,"$1,978",4%
94585,California,Suisun City,"$1,332",-30%
94549,California,Lafayette,"$1,349",-29%
93704,California,Fresno,"$1,477",-22%
92316,California,Bloomington,"$1,632",-14%
95219,California,Stockton,"$1,423",-25%
95829,California,Vineyard,"$1,399",-26%
95961,California,Olivehurst,"$1,486",-22%
95204,California,Stockton,"$1,406",-26%
94518,California,Concord,"$1,313",-31%
91384,California,Castaic,"$1,971",4%
90061,California,Los Angeles,"$2,070",9%
93401,California,San Luis Obispo,"$1,140",-40%
90038,California,Los Angeles,"$2,027",7%
90710,California,Harbor City,"$1,582",-17%
92262,California,Palm Springs,"$1,787",-6%
93035,California,Oxnard,"$1,224",-36%
91364,California,Woodland Hills,"$1,978",4%
93280,California,Wasco,"$1,558",-18%
95363,California,Patterson,"$1,365",-28%
92604,California,Irvine,"$1,555",-18%
95370,California,Sonora,"$1,608",-15%
94510,California,Benicia,"$1,306",-31%
95212,California,Stockton,"$1,428",-25%
95133,California,San Jose,"$1,248",-34%
93901,California,Salinas,"$1,237",-35%
91504,California,Burbank,"$1,882",-1%
90713,California,Lakewood,"$1,816",-4%
94062,California,Redwood City,"$1,301",-31%
90017,California,Los Angeles,"$1,961",3%
90035,California,Los Angeles,"$1,938",2%
94306,California,Palo Alto,"$1,192",-37%
94559,California,Napa,"$1,262",-34%
90291,California,Venice,"$1,781",-6%
91724,California,Covina,"$1,639",-14%
90405,California,Santa Monica,"$1,823",-4%
92614,California,Irvine,"$1,568",-17%
90746,California,Carson,"$1,891",0%
92606,California,Irvine,"$1,554",-18%
95242,California,Lodi,"$1,384",-27%
91755,California,Monterey Park,"$1,471",-23%
95618,California,Davis,"$1,370",-28%
92860,California,Norco,"$1,680",-12%
93725,California,Fresno,"$1,484",-22%
92227,California,Brawley,"$1,690",-11%
94506,California,Blackhawk,"$1,403",-26%
90270,California,Maywood,"$1,862",-2%
92008,California,Carlsbad,"$1,357",-29%
92629,California,Dana Point,"$1,686",-11%
93960,California,Soledad,"$1,339",-29%
94002,California,Belmont,"$1,262",-34%
91302,California,Calabasas,"$1,952",3%
93105,California,Santa Barbara,"$1,341",-29%
94133,California,San Francisco,"$1,510",-20%
91945,California,Lemon Grove,"$1,358",-28%
95677,California,Rocklin,"$1,357",-29%
91103,California,Pasadena,"$1,581",-17%
90240,California,Downey,"$1,856",-2%
95409,California,Santa Rosa,"$1,207",-36%
92694,California,Ladera Ranch,"$1,755",-8%
94598,California,Walnut Creek,"$1,329",-30%
91042,California,Tujunga,"$1,994",5%
90304,California,Lennox,"$1,963",3%
92868,California,Orange,"$1,526",-20%
91010,California,Duarte,"$1,589",-16%
92411,California,San Bernardino,"$1,648",-13%
91932,California,Imperial Beach,"$1,339",-29%
91784,California,Upland,"$1,543",-19%
95945,California,Grass Valley,"$1,700",-10%
90249,California,Gardena,"$1,867",-2%
92835,California,Fullerton,"$1,565",-18%
91740,California,Glendora,"$1,622",-15%
94547,California,Hercules,"$1,336",-30%
94123,California,San Francisco,"$1,495",-21%
91741,California,Glendora,"$1,649",-13%
94803,California,Richmond,"$1,339",-29%
91301,California,Agoura Hills,"$1,785",-6%
90064,California,Los Angeles,"$1,892",0%
94402,California,San Mateo,"$1,261",-34%
95815,California,Sacramento,"$1,421",-25%
94530,California,El Cerrito,"$1,325",-30%
92832,California,Fullerton,"$1,524",-20%
95032,California,Los Gatos,"$1,222",-36%
91403,California,Sherman Oaks,"$2,098",10%
94947,California,Novato,"$1,342",-29%
91307,California,Los Angeles,"$2,084",10%
92284,California,Yucca Valley,"$1,746",-8%
94607,California,Oakland,"$1,522",-20%
92211,California,Palm Desert,"$1,685",-11%
91030,California,South Pasadena,"$1,565",-18%
95215,California,Garden Acres,"$1,431",-25%
